"Snapdragon 8 Elite (Gen 4)
"Snapdragon 845
Qualcomm","34
 C",455674,564 / 2074,"8
 (4+4)",2800 MHz,Adreno 630
"Dimensity 720
MediaTek","32
 C",388163,770 / 1844,"8
 (2+6)",2000 MHz,Mali-G57 MP3
"Snapdragon 732G
Qualcomm","33
 C",399096,747 / 1843,"8
 (2+6)",2300 MHz,Adreno 618
"Dimensity 800U
MediaTek","33
 C",433106,752 / 1836,"8
 (2+6)",2400 MHz,Mali-G57 MP3
"Snapdragon 720G
Qualcomm","33
 C",389169,750 / 1774,"8
 (2+6)",2300 MHz,Adreno 618
"Snapdragon 730G
Qualcomm","32
 C",376385,697 / 1809,"8
 (2+6)",2200 MHz,Adreno 618
"Helio G96
MediaTek","30
 C",381798,645 / 1855,"8
 (2+6)",2050 MHz,Mali-G57 MP2
"Snapdragon 480
Qualcomm","32
 C",356931,693 / 1802,"8
 (2+6)",2000 MHz,Adreno 619
"Dimensity 700
MediaTek","32
 C",384403,711 / 1783,"8
 (2+6)",2200 MHz,Mali-G57 MP2
"Helio G90T
MediaTek","30
 C",375080,649 / 1835,"8
 (2+6)",2050 MHz,Mali-G76 MP4
"Exynos 9810
Samsung","32
 C",467429,559 / 1840,"8
 (4+4)",2900 MHz,Mali-G72 MP18
"Helio G95
MediaTek","31
 C",409894,636 / 1738,"8
 (2+6)",2050 MHz,Mali-G76 MP4
"Helio G90
MediaTek","30
 C",368990,625 / 1744,"8
 (2+6)",2050 MHz,Mali-G76 MP4
"Snapdragon 675
Qualcomm","28
 C",314867,671 / 1695,"8
 (2+6)",2000 MHz,Adreno 612
"Snapdragon 730
Qualcomm","31
 C",360125,691 / 1629,"8
 (2+6)",2200 MHz,Adreno 618
"Snapdragon 678
Qualcomm","29
 C",337821,680 / 1556,"8
 (2+6)",2200 MHz,Adreno 612
"A10 Fusion
Apple","30
 C",396274,878 / 1319,"4
 (2+2)",2340 MHz,PowerVR GT7600
"Tiger T620
Unisoc","27
 C",332915,497 / 1541,"8
 (2+6)",2200 MHz,Mali-G57 MP1
"Helio P95
MediaTek","27
 C",299534,456 / 1541,"8
 (2+6)",2200 MHz,PowerVR GM9446
"Snapdragon 685
Qualcomm","31
 C",349440,473 / 1510,"8
 (4+4)",2800 MHz,Adreno 610
"Tiger T616
Unisoc","25
 C",293824,452 / 1503,"8
 (2+6)",2000 MHz,Mali-G57 MP1
"MediaTek MT6739
MediaTek","15
 D",59165,456 / 1499,"4
 (4)",1500 MHz,PowerVR GE8100
"Tiger T612
Unisoc","25
 C",244837,422 / 1509,"8
 (2+6)",1800 MHz,Mali-G57 MP1
"Tiger T618
Unisoc","26
 C",281958,469 / 1456,"8
 (2+6)",2000 MHz,Mali-G52 MP2
"Snapdragon 835
Qualcomm","29
 C",368607,415 / 1508,"8
 (4+4)",2450 MHz,Adreno 540
"Tiger T615
Unisoc","25
 C",258142,441 / 1454,"8
 (2+6)",1800 MHz,Mali-G57 MP1
"Snapdragon 712
Qualcomm","28
 C",314968,446 / 1436,"8
 (2+6)",2300 MHz,Adreno 616
"Tiger T700
Unisoc","25
 C",260484,429 / 1434,"8
 (2+6)",1820 MHz,Mali-G52 MP2
"Snapdragon 680
Qualcomm","29
 C",308154,412 / 1444,"8
 (4+4)",2400 MHz,Adreno 610
